Segment,Ship Mode,Region,Order Priority,Sales,Quantity,Discount,Profit,Shipping Cost,TotalSale,SalesAfterDiscount
Consumer,Standard Class,Africa,Medium,408.3,2,0,106.14,35.46,816.6,816.6
Consumer,Standard Class,Oceania,Medium,120.37,3,0.1,36.04,9.72,361.098,324.99
Consumer,Second Class,EMEA,High,66.12,4,0,29.64,8.17,264.48,264.48
Corporate,Second Class,North,High,44.86,3,0.5,-26.06,4.82,134.595,67.3
Consumer,Standard Class,Oceania,Medium,113.67,5,0.1,37.77,4.7,568.35,511.52
Consumer,Standard Class,Oceania,Medium,55.24,2,0.1,15.34,1.8,110.484,99.44
Consumer,Second Class,Central Asia,Critical,285.78,2,0,71.4,57.3,571.56,571.56
Consumer,First Class,West,High,290.67,2,0.15,3.42,54.64,581.332,494.13
Corporate,Second Class,Africa,Critical,206.4,1,0,92.88,53.08,206.4,206.4
Corporate,Second Class,North Asia,Critical,162.72,3,0,68.31,44.36,488.16,488.16
Corporate,Second Class,North Asia,Medium,352.35,5,0,137.4,33.15,1761.75,1761.75
Corporate,Standard Class,Central,Medium,400.7,2,0.4,20.02,21.38,801.408,480.84
Consumer,Standard Class,EMEA,High,309.6,6,0,148.5,19.65,1857.6,1857.6
Corporate,Second Class,Central,High,139.65,5,0,15.3,19.23,698.25,698.25
Consumer,Second Class,Central Asia,Critical,40.68,3,0,11.79,11.13,122.04,122.04
Corporate,Standard Class,Central,Medium,81.98,2,0.4,-19.14,6.21,163.968,98.38
Consumer,Standard Class,South,Medium,78.3,3,0,20.34,6.03,234.9,234.9
Consumer,Second Class,Central Asia,Critical,22.65,5,0,9.6,5.29,113.25,113.25
Consumer,Second Class,Central Asia,Critical,20.34,3,0,9.9,3.78,61.02,61.02
Corporate,Second Class,Central,High,21.39,1,0,0,3.34,21.39,21.39
Consumer,Standard Class,Central,Medium,21.06,3,0,10.53,1.86,63.18,63.18
Consumer,Standard Class,Central,Medium,11.82,2,0,4.2,0.93,23.64,23.64
Corporate,Standard Class,Central,Medium,9.58,6,0.4,-0.98,0.81,57.456,34.47
Consumer,First Class,Canada,High,551.16,4,0,71.64,164.36,2204.64,2204.64
Corporate,Standard Class,North,High,1314.45,3,0,341.73,150.4,3943.35,3943.35
Consumer,Standard Class,EMEA,Medium,1470.78,6,0,264.6,146.55,8824.68,8824.68
Consumer,Standard Class,Central,High,364.42,8,0.2,45.46,80.67,2915.328,2332.26
Corporate,Standard Class,Central,High,634.12,6,0.3,-172.12,70.05,3804.696,2663.29
Consumer,First Class,Canada,High,246.48,4,0,105.96,65.81,985.92,985.92
Corporate,Standard Class,North,High,704.55,5,0,288.75,64.4,3522.75,3522.75
Consumer,Standard Class,EMEA,Medium,1244.16,6,0,211.5,60.78,7464.96,7464.96
Consumer,First Class,Oceania,High,214.76,2,0.1,7.16,55.67,429.516,386.56
Consumer,Second Class,West,Medium,457.57,2,0.2,51.48,47.89,915.136,732.11
Consumer,Standard Class,EMEA,Medium,587.7,2,0,123.36,42.88,1175.4,1175.4
Consumer,Standard Class,Central,Medium,376.51,3,0.3,-43.03,32.7,1129.527,790.67
Corporate,Standard Class,North,High,194.64,4,0,34.92,25.39,778.56,778.56
Consumer,Standard Class,Central,Medium,362.25,6,0.3,0,25.22,2173.5,1521.45
Consumer,First Class,Canada,High,493.2,4,0,123.24,18.19,1972.8,1972.8
Consumer,Standard Class,Central,Low,106.8,4,0,29.88,16.48,427.2,427.2
Consumer,Standard Class,EMEA,Medium,266.25,1,0,79.86,16.22,266.25,266.25
Corporate,Standard Class,North Asia,Medium,351.75,7,0,59.64,15.91,2462.25,2462.25
Consumer,Standard Class,Southeast Asia,Medium,238.93,2,0.27,62.17,15.01,477.858,348.84
Consumer,Standard Class,Southeast Asia,Medium,109.19,9,0.47,-74.41,14.58,982.6677,520.81
Corporate,Standard Class,Central,Medium,151.36,2,0.1,-5.06,14.22,302.724,272.45
Consumer,Standard Class,Oceania,High,91.87,1,0.4,-45.95,13.96,91.872,55.12
Consumer,Standard Class,EMEA,Medium,196.74,1,0,86.55,12.33,196.74,196.74
Consumer,Standard Class,Central,High,117.5,3,0.2,36.68,11.43,352.512,282.01
Consumer,Standard Class,Central,Medium,137.35,3,0.2,8.58,8.49,412.056,329.64
Consumer,Standard Class,Central,High,63.36,3,0.2,23.76,8.22,190.08,152.06
Consumer,Standard Class,Central,Medium,129.55,3,0.2,-22.67,8,388.656,310.92
Consumer,Standard Class,Central,Medium,63.55,6,0.6,-34.95,7.38,381.312,152.52
Consumer,Standard Class,EMEA,Medium,221.16,2,0,15.48,6.87,442.32,442.32
Consumer,First Class,Canada,High,30.48,1,0,2.73,6.7,30.48,30.48
Corporate,Second Class,Central,Medium,46.53,1,0,12.54,6.09,46.53,46.53
Consumer,First Class,Oceania,High,24.35,1,0.1,8.9,5.44,24.354,21.92
Consumer,Standard Class,Oceania,High,23.87,3,0.4,-7.63,3.9,71.604,42.96
Consumer,Standard Class,EMEA,Medium,61.74,6,0,17.82,3.73,370.44,370.44
Corporate,Standard Class,North,High,37.08,3,0,10.35,3.55,111.24,111.24
Corporate,Second Class,Central,Medium,146.52,12,0,0,3.35,1758.24,1758.24
Corporate,Second Class,Central,Medium,102.44,2,0.1,35.24,3.3,204.876,184.39
Consumer,First Class,Canada,High,12.36,1,0,2.46,3.1,12.36,12.36
Consumer,First Class,Canada,High,11.76,1,0,5.64,2.24,11.76,11.76
Consumer,Standard Class,EMEA,Medium,48.45,1,0,12.09,2.21,48.45,48.45
Consumer,Standard Class,Central,Medium,18.84,5,0.2,-3.53,2.05,94.2,75.36
Corporate,Standard Class,Central,High,17.47,3,0.2,5.68,1.94,52.416,41.93
Consumer,Standard Class,EMEA,Medium,16.53,1,0,7.41,1.14,16.53,16.53
Consumer,First Class,Oceania,High,12.64,2,0.1,-1.16,1.05,25.272,22.74
Consumer,Standard Class,Oceania,Medium,21.55,6,0.1,4.27,1.02,129.276,116.35
Consumer,Standard Class,South,Medium,17.82,2,0,3.18,0.97,35.64,35.64
Consumer,Standard Class,EMEA,Medium,31.14,2,0,14.28,0.81,62.28,62.28
Corporate,Standard Class,Africa,Medium,25.32,1,0.7,-28.71,0.79,25.317,7.6
Corporate,Standard Class,East,Medium,5.94,3,0,1.6,0.42,17.82,17.82
Corporate,First Class,South,High,496.58,6,0.4,-289.84,122.65,2979.504,1787.7
Consumer,First Class,South,High,295.92,6,0,32.4,71.22,1775.52,1775.52
Corporate,Standard Class,North Asia,Medium,567.6,5,0.2,0,49.7,2838,2270.4
Consumer,First Class,South,High,157.95,3,0,69.48,21.83,473.85,473.85
Corporate,Second Class,South,Medium,138.7,2,0.4,-25.46,20.4,277.392,166.44
Corporate,Standard Class,Southeast Asia,High,83.69,2,0.15,30.47,17.47,167.382,142.27
Corporate,Second Class,Central,High,85.54,4,0.4,-47.1,11.56,342.144,205.29
Consumer,First Class,South,High,123.12,3,0,50.4,11.19,369.36,369.36
Corporate,Second Class,South,Medium,80.06,2,0.4,-53.38,7.56,160.128,96.08
Consumer,Standard Class,South,High,47.56,1,0,10.92,6,47.56,47.56
Corporate,Second Class,South,Medium,67.61,3,0.4,-29.35,5.65,202.824,121.69
Corporate,Second Class,South,Medium,121.5,5,0.4,-48.6,5.41,607.5,364.5
Corporate,Second Class,South,Medium,44.94,5,0.4,0.74,5.41,224.7,134.82
Corporate,Second Class,South,Medium,20.11,2,0.4,-1.69,3.66,40.224,24.13
Corporate,Standard Class,North Asia,Medium,43.8,5,0.5,-13.2,3.05,219,109.5
Consumer,Second Class,West,Medium,29.6,2,0,14.8,3.01,59.2,59.2
Corporate,Standard Class,Southeast Asia,High,25.34,2,0.45,-6.04,2.99,50.688,27.88
